,date,confirmed_cases_cumulative,confirmed_cases,7dconfirmed_cases,inc,Face_Masks_Required_in_Public
341,2021-01-07,54854,683.0,578.5714285714286,97.57142857142856,Yes
342,2021-01-08,55612,758.0,686.8571428571429,108.28571428571433,Yes
343,2021-01-09,56144,532.0,557.7142857142857,-129.14285714285722,Yes
344,2021-01-10,56760,616.0,586.8571428571429,29.142857142857224,Yes
345,2021-01-11,57103,343.0,574.7142857142857,-12.142857142857224,Yes
346,2021-01-12,57446,343.0,583.1428571428571,8.428571428571445,Yes
347,2021-01-13,58112,666.0,563.0,-20.14285714285711,Yes
348,2021-01-14,58782,670.0,561.1428571428571,-1.8571428571428896,Yes
349,2021-01-15,59354,572.0,534.5714285714286,-26.571428571428555,Yes
350,2021-01-16,59907,553.0,537.5714285714286,3.0,Yes
351,2021-01-17,60258,351.0,499.7142857142857,-37.85714285714283,Yes
352,2021-01-18,60589,331.0,498.0,-1.7142857142857224,Yes
353,2021-01-19,60900,311.0,493.42857142857144,-4.571428571428555,Yes
354,2021-01-20,61318,418.0,458.0,-35.428571428571445,Yes
355,2021-01-21,61916,598.0,447.7142857142857,-10.285714285714278,Yes
356,2021-01-22,62351,435.0,428.14285714285717,-19.571428571428555,Yes
357,2021-01-23,62933,582.0,432.2857142857143,4.14285714285711,Yes
358,2021-01-24,63279,346.0,431.57142857142856,-0.7142857142857224,Yes
359,2021-01-25,63993,714.0,486.2857142857143,54.71428571428572,Yes
360,2021-01-26,64418,425.0,502.57142857142856,16.285714285714278,Yes
361,2021-01-27,64744,326.0,489.42857142857144,-13.14285714285711,Yes
362,2021-01-28,65209,465.0,470.42857142857144,-19.0,Yes
363,2021-01-29,65566,357.0,459.2857142857143,-11.142857142857167,Yes
364,2021-01-30,65913,347.0,425.7142857142857,-33.571428571428555,Yes
365,2021-01-31,66170,257.0,413.0,-12.714285714285722,Yes
366,2021-02-01,66453,283.0,351.42857142857144,-61.571428571428555,Yes
367,2021-02-02,66792,339.0,339.14285714285717,-12.285714285714278,Yes
368,2021-02-03,67208,416.0,352.0,12.857142857142833,Yes
369,2021-02-04,67606,398.0,342.42857142857144,-9.571428571428555,Yes
370,2021-02-05,68011,405.0,349.2857142857143,6.857142857142833,Yes
371,2021-02-06,68306,295.0,341.85714285714283,-7.428571428571445,Yes
372,2021-02-07,68554,248.0,340.57142857142856,-1.2857142857142776,Yes
373,2021-02-08,68743,189.0,327.14285714285717,-13.428571428571388,Yes
374,2021-02-09,69131,388.0,334.14285714285717,7.0,Yes
375,2021-02-10,69361,230.0,307.57142857142856,-26.571428571428612,Yes
376,2021-02-11,69652,291.0,292.2857142857143,-15.285714285714278,Yes
377,2021-02-12,69885,233.0,267.7142857142857,-24.571428571428555,Yes
378,2021-02-13,69988,103.0,240.28571428571428,-27.428571428571445,Yes
379,2021-02-14,70234,246.0,240.0,-0.2857142857142776,Yes
380,2021-02-15,70376,142.0,233.28571428571428,-6.714285714285722,Yes
381,2021-02-16,70578,202.0,206.71428571428572,-26.571428571428555,Yes
382,2021-02-17,70817,239.0,208.0,1.2857142857142776,Yes
